iter	Passed	Remaining
0	136	136334
1	140	70192
2	144	47917
3	148	36922
4	153	30452
5	156	26008
6	160	22773
7	164	20399
8	168	18543
9	172	17050
10	175	15806
11	179	14773
12	183	13956
13	187	13214
14	191	12565
15	194	11983
16	198	11496
17	202	11051
18	206	10644
19	209	10276
20	213	9966
21	217	9683
22	221	9410
23	225	9151
24	228	8924
25	232	8721
26	236	8518
27	239	8330
28	243	8146
29	247	7994
30	251	7848
31	254	7699
32	257	7559
33	261	7429
34	265	7319
35	268	7201
36	272	7090
37	275	6984
38	280	6908
39	283	6815
40	287	6723
41	291	6639
42	295	6569
43	298	6493
44	302	6415
45	305	6338
46	309	6266
47	313	6223
48	317	6171
49	321	6109
50	325	6051
51	329	6010
52	333	5955
53	336	5902
54	340	5847
55	344	5804
56	347	5753
57	351	5704
58	354	5660
59	358	5610
60	362	5577
61	366	5539
62	369	5500
63	373	5462
64	377	5434
65	381	5395
66	384	5356
67	388	5320
68	391	5287
69	395	5257
70	399	5228
71	403	5194
72	406	5164
73	410	5141
74	414	5112
75	418	5087
76	421	5057
77	425	5034
78	429	5004
79	432	4978
80	436	4949
81	439	4925
82	444	4909
83	448	4885
84	451	4858
85	454	4832
86	459	4822
87	463	4800
88	466	4775
89	470	4752
90	474	4737
91	478	4720
92	482	4705
93	486	4686
94	489	4667
95	493	4649
96	497	4635
97	501	4613
98	505	4599
99	509	4584
100	513	4568
101	516	4550
102	520	4534
103	524	4520
104	528	4502
105	532	4487
106	535	4472
107	541	4468
108	544	4453
109	548	4436
110	551	4419
111	556	4409
112	559	4392
113	563	4377
114	566	4358
115	570	4344
116	573	4329
117	577	4314
118	580	4300
119	584	4284
120	588	4273
121	592	4262
122	595	4248
123	599	4234
124	603	4224
125	607	4213
126	611	4201
127	614	4188
128	618	4177
129	623	4172
130	627	4161
131	631	4151
132	635	4140
133	639	4134
134	643	4123
135	647	4111
136	650	4100
137	654	4090
138	658	4079
139	662	4067
140	665	4054
141	669	4046
142	673	4034
143	676	4023
144	680	4012
145	684	4003
146	688	3995
147	692	3986
148	696	3975
149	699	3964
150	703	3955
151	707	3945
152	710	3934
153	714	3923
154	718	3917
155	721	3905
156	725	3893
157	728	3882
158	732	3874
159	736	3867
160	740	3857
161	743	3847
162	747	3838
163	751	3833
164	755	3825
165	759	3817
166	763	3806
167	767	3799
168	771	3791
169	774	3781
170	778	3773
171	782	3766
172	785	3756
173	789	3746
174	792	3737
175	796	3727
176	800	3722
177	804	3713
178	808	3706
179	812	3702
180	816	3693
181	819	3684
182	823	3674
183	827	3667
184	830	3659
185	834	3652
186	838	3645
187	843	3641
188	847	3638
189	851	3629
190	854	3620
191	858	3614
192	862	3606
193	866	3598
194	869	3590
195	874	3586
196	877	3577
197	881	3571
198	885	3562
199	888	3554
200	892	3547
201	896	3539
202	899	3531
203	902	3523
204	907	3518
205	910	3510
206	914	3503
207	918	3497
208	922	3491
209	926	3486
210	930	3479
211	934	3472
212	938	3466
213	942	3460
214	946	3455
215	949	3447
216	954	3443
217	958	3438
218	962	3432
219	966	3427
220	970	3422
221	974	3416
222	978	3409
223	982	3402
224	985	3394
225	989	3389
226	993	3384
227	997	3378
228	1001	3370
229	1005	3366
230	1009	3359
231	1012	3353
232	1016	3347
233	1021	3342
234	1024	3334
235	1028	3328
236	1031	3321
237	1035	3315
238	1039	3308
239	1043	3302
240	1046	3295
241	1049	3288
242	1053	3282
243	1057	3275
244	1060	3269
245	1064	3262
246	1068	3257
247	1072	3250
248	1076	3246
249	1080	3240
250	1083	3233
251	1087	3229
252	1091	3223
253	1095	3216
254	1098	3210
255	1103	3205
256	1107	3200
257	1110	3194
258	1114	3187
259	1118	3182
260	1121	3175
261	1125	3169
262	1128	3162
263	1132	3157
264	1136	3152
265	1140	3148
266	1144	3142
267	1148	3136
268	1152	3131
269	1155	3125
270	1159	3119
271	1163	3112
272	1166	3107
273	1170	3101
274	1174	3095
275	1177	3089
276	1181	3083
277	1185	3077
278	1188	3072
279	1192	3066
280	1196	3060
281	1201	3058
282	1204	3052
283	1208	3046
284	1211	3040
285	1215	3035
286	1219	3028
287	1222	3022
288	1225	3016
289	1229	3011
290	1233	3005
291	1237	3000
292	1241	2995
293	1245	2990
294	1249	2985
295	1252	2979
296	1256	2974
297	1259	2967
298	1263	2962
299	1267	2957
300	1271	2952
301	1275	2947
302	1279	2943
303	1282	2936
304	1286	2931
305	1290	2926
306	1293	2920
307	1298	2917
308	1302	2911
